Supplier;Code;Description;Quantity;Value
B14;G1095.1W;B14 PUFF SUNBED WITH BOLSTER 60x145;2;161
Β17;F8040;Β17 BLANKET COTTON;1;96
Β17;F8044;Β17 BLANKET COTTON;1;82
Β17;F8029;Β17 PILLOW COVER COTTON 50X50CM;1;34
Β17;F8032;Β17 PILLOW COVER COTTON 50X50CM;1;34
Β17;F8038;Β17 PILLOW COVER COTTON 50X30CM;1;25
B152;A5867.1W;B152 BAMBOO WEAVY TWIGS 200cm;24;84
B164;A6589;B164 SEAHORSE WOODEN WHITE-BLUE H40;2;25
B165;A6547;B165 BUDDHA STONE H40;1;52
B169;T2422.1;B169 DINNING TABLE SERRI PRIME TEAK 220X100X75;1;1549
B169;T2463.3DG;B169 DINING TABLE TEAK WITH MARBLE TOP 220x90x75;1;1115
B169;K1064.2;B169 BED with HEADBOARD ROPE 172x212x140 for mattress 160x200;1;1048
B169;K1043.2;B169 HEADBOARD C GROOVES 260x110;2;989
B169;K1036;B169 BED POSTER 175X215X200 MATRESS 160X200;1;925
B169;C1673;B169 STOOL BAR 40x53x89;6;821
B169;C1731;B169 CHAIR PRIME TEAK 63x42x80;6;701
B169;T2051N;B169 SIDE TABLE DRIMONAS 30x30x40;6;651
B169;T1388.2;B169 COFFEE TABLE TEAK 130x70X35;1;632
B169;T2056.1N;B169 DINING TABLE TEAK AINOS 70x80x75;1;395
B169;C1509N;B169 SIDE TABLE F45 H50;2;387
B169;K1043;B169 HEADBOARD C GROOVES 170X110;1;379
B169;G1261;B169 SUNBED LOW TEAK ASSOS 200x80X10;1;372
B169;C1401;B169 BENCH NATURAL 245x45x40;1;347
B169;A7941;B169 MIRROR STANDING FLOOR 50x4x170;2;346
B169;C1650.1;B169 STOOL TEAK 35X35X45;4;336
B169;G1241;B169 SUNBED TEAK PARGA 200x60;2;299
B169;T1390.2N;B169 COFFEE TABLE TEAK ROOT 100x100x45;1;255
B169;C1628;B169 STOOL STONE ROUND NESIMA 30x30x45;2;215
B169;C1608N;B169 STOOL ALMIRIDA 40x30x43;2;197
B169;T2004BN;B169 SIDE TABLE SUAR NOTOS F48 H50;2;193
B169;T2004N;B169 SIDE TABLE SUAR NOTOS F48 H50;2;193
B169;T2112;B169 COFFEE TABLE BRANCHES F105 H50;1;161
B169;T1338.1;B169 COFFEE TABLE ROUND SUAR F50x45;2;161
B169;G1261C.FY05;B169 CUSHION FOR SUNBED ASSOS LOW RECYCLED TEAK 142-48x60x25;1;152
B169;C1644;B169 STOOL 40X40X40;1;96
B169;C1648;B169 STOOL 40X40X40;1;77
B169;A7095.1BR;B169 MIRROR PLAIN 65x140;1;73
B169;A7682;B169 VASE TEAK 19X19X19;2;50
B169;A7497;B169 STAND 30x10x40;1;36
B169;A7472;B169 BOWL 70X14X7;1;32
B169;A7838;B169 PLATETHIN ROUNDED   27x27x4;1;17
B169;A7102.1N;B169 TEAK BOWL BLIMB F20 H15;1;16
B171;G1229;B171 UMBRELLA TEAK F250 H200;2;259
B172;C1604.2N;B172 CHAIR POGONIA 50x52x87;6;666
B172;A1324.3B;B172 BASKET F31 H34;4;111
B172;C1663G;B172 STOOL WOODEN MONTEPALMA F25 H48;2;102
B172;A1534B;B172 LADDER 44x180;2;43
B172;A1534W;B172 LADDER 44x180;2;41
B172;A7588.1;B172 BASKET AGEL F32 H42/53;1;34
B172;A1324.2B;B172 BASKET F27 H25;1;20
B172;A7433W;B172 DOOR STOP 12x12x20;1;20
B176;F7976;B176 RUG 200;1;73
B176;A7518.3BW;B176 BASKET black & white 40x40x50;1;40
B176;A7514.1;B176 BASKET RATTAN & WHITE 33x33x40;1;28
B176;A7520.3;B176 BASKET with stripes 41x41x32;1;24
B176;A7511.3;B176 BASKET RECTANGLE RATTAN 41x31x21;1;19
B176;A7513.1;B176 BASKET FLAT ROUND with handles 30x30x7;1;13
B180;T2024.3N;B180 DESK TABLE KYANI TEAK 200x100x75;1;544
B185;A6903;B185 VASE ANTIQUE 35x35x35;1;61
B204;G1309;B204 SET LIVING MARCHESA 133x92x82;1;725
B206;C1727;B206 CHAIR 50x52x80;8;1011
B206;C1724;B206 CHAIR LOOM 50x46x77;6;766
B206;C1714;B206 CHAIR 63x47x76;2;285
B206;C1719;B206 CHAIR SEAGRASS 62x47x73;2;285
B206;C1716;B206 CHAIR 90x90x73;1;222
B206;C1706;B206 CHAIR 68x47x90;1;222
B208;A7871;B208 10 MODELS ITEMS  20x20x9;6;45
B208;A7873;B208 5 MODEL ITEM ;2;10
B29;A4260;B29 ROUND FRUIT PLATE ON LEG TERRACOTTA;1;13
B29;A5434B;B29 TERRACOTTA ASHTRAY F9x7;1;10
B29;A5434;B29 TERRACOTTA ASHTRAY F9x7;1;9
B29;A4273BR;B29 T-LIGHT FOUR PEOPLE TERRACOTTA;1;6
Β220;F8063;Β220 CUSHION COVER COTTON 40X60CM;3;79
Β220;F8061;Β220 CUSHION COVER COTTON 40X60CM;1;29
Β31;A7944;Β31 STAND POT  CEMENT;2;303
Β31;A7985.3G;Β31 POTTERY  TERRACOTA;1;17
Β31;A7985.2G;Β31 POTTERY  TERRACOTA;1;14
Β31;A7985.1G;Β31 POTTERY  TERRACOTA;1;12
B3;B1001G;B3 FLOOR SINK TOP HOLE 40x47x90 GREY;1;212
B4;A5768;B4 GANESHA INCENSE HOLDER 2 28cm;3;31
B4;A6537;B4 BUDDHA STONE H30;1;29
B4;A7636;B4 BUDHA XS;1;3
B72;A4348.3R;B72 WOODEN HANGER 5 RED BIG FLIP-FLOPS;1;8
D148;F4897.2;D148 SPRING BLANKET 230Χ240;2;77
D178;KW0001;D178 BED;2;1179
D179;CW0003;D179 CHAIR OLIA;6;2183
D195;AT1001;D195 Πολυπαιχνίδι 4σε1 Σκάκι-Τάβλι-Γκρινιάρης-Φιδάκι (Ελιά) 34x34cm;1;62
D75;SW0002;D75 SOFA;3;5237
D75;K1070.1;D75 BED MATISSE 160X200;2;2566
D75;KW0000.1;D75 BED BASE BOX 150-180X200X30;2;929
D75;KW0000;D75 BED BASE BOX 90-100X200X30;2;589
D8;F6565;D8 KILIMI GREEK 156x240;1;86
D99;K1050.1;D99 MATRESS LIFE STYLE COCO 160x200x25;4;1995
D99;K1050.3;D99 MATRESS LIFE STYLE COCO 80/90x200x25;2;644
I107;A7642WW;I107 WOODEN FAN ceiling WHITE blades WHITE motor;1;306
I125;K1061.1;I125 MATRESS 160x200x25;1;151
I163;A7602;I163 PITCHER GLASS with BAMBOO LID 1.4L 8x9x25cm;1;12
I17;L1477;I17 TABLE LAMP F18 H54;1;52
I17;A7230;I17 IRON BUCKET F29 H19;1;19
I32;C1229B;I32 CHAIR BLACK;4;214
I33;A7825;I33 COSY CASHMERE 100ML REED DIFFUSER WITH 8 REEDS IN PAPER BOX;3;44
I33;A7824;I33 TURQUISE ESCAPE SCENTED GLASS CANDLE WITH 200GM WAX;3;33
I40;A6236;I40 FLOWER WHITE H110;4;58
I40;A6258;I40 FLOWER GREEN LEAVES H92;4;43
I44;L1085;I44 LANTERN METAL WITH PATTERNS;3;24
Ι48;G1241CC.FY05;Ι48 CUSHION COVER FOR SUNBED TEAK PARGA ΜΕ ΓΑΝΤΖΑΚΙΑ;4;245
I48;G1276L802-8;I48 POUF 323 80x70x90;2;238
I51;A6371;I51 BAMBOO MORTAR;3;19
I51;A6362;I51 BAMBOO TRAY RECT 30x13;1;3
I52;L1042;I52 TABLE LAMP CERAMIC BASE H53;2;103
I52;L1045;I52 TABLE LAMP CEMENT + LONG BULB 14x9x31.5;4;101
I63;B4040W;I63 BATH SET4 WHITE & WOOD;3;85
I65;A6593;I65 ASHTRAY OCTAGON F13x4;3;32
I70;A6504;I70 BOWL SMALL BLUE FLOWERS F11.5x5.5;5;13
I70;A6511;I70 CUP BLUE PATTERNS;1;1
I73;A6484.5;I73 BASKET WICKER WITH HANDLE;1;5
I73;A6484.4;I73 BASKET WICKER WITH HANDLE;1;4
I73;A6484.3;I73 BASKET WICKER WITH HANDLE;1;3
I73;A6484.2;I73 BASKET WICKER WITH HANDLE;1;2
I73;A6484.1;I73 BASKET WICKER WITH HANDLE;1;1
I76;A6404BR;I76 PLACE MAT BAMBOO 30x45;3;5
I80;F7884GR;I80 SCARF 30%LINEN+70%VISCOSE;1;12
I80;F7884PI;I80 SCARF 30%LINEN+70%VISCOSE;1;12
I84;F8001;I84 RUG COTTON BLOCK PRINT ( B/W ) 152,4x243,84;1;73
I84;F8021;I84 CUSHION COVER COMPUTER EMBD. ( MIX ASST. ) WITHOUT FILLER 45,72x45,72;2;32
I86;B1487;I86 WASTE BIN STAINLESS STEEL 13x13x15;1;42
I86;B1485;I86 SOAP DISH STAINLESS STEEL 7x7x2;1;8
I93;F4448;I93 COTTON WOOVEN RUG 120x180;3;101
I93;F4446;I93 JUTE RUG 40x40;8;35
I99;A2712;I99 BOWL 15.5x12x8;6;25
I99;A2708;I99 MUG 7.2x6.5x8.2;6;14
I99;A2709;I99 MUG 11.5x8.5x10.5;4;11
I99;A2707;I99 BOWL 9.8x7.5x6;4;10
P1;A2455.2PI;P1 POT ROUND ROSES MEDIUM;1;10
P1;A1102LI;P1 GINGER POT ROUND LIME SS 14x15;1;8
P1;A1096LI;P1 POT ROUND LIME MS 15x20;1;6
P14;L3294;P14 Hanging lamp Ø40x3 cm PALOMA rattan natural;1;43
P14;A8135;P14 Vase deco Ø13,5x43,5 cm BALURAN ceramics ocher brown;1;34
P14;A6716.1;P14 BASKET DUNGUN DG RATTAN F34x30;1;33
P14;L1350;P14 LED LIGHT 4W;4;27
P14;L2772;P14 T-LIGHT GLASS & STONE BASE BORYA F20X28.5;1;16
P17;A6072;P17 PARFUM MAUBOUSSIN 100ml;1;38
P17;F7806BLW;P17 SET DUVET +2 PILLOW CASES 240x220 65x65;1;36
P17;F7806GW;P17 SET DUVET+2 PILLOW CASES 240x220 65x65;1;36
P17;B1428.1BL;P17 TOWEL NAVY BLUE 100x50;2;22
P21;L2970;P21 TABLE LAMP GRAPHIQUE CERAMIC;1;8
P38;A7148;P38 CUP PORCELANE F17xH8;2;32
P38;A6631;P38 TRAY ROUND ORF F30x5;1;16
P38;A7545;P38 GIFT BOX 2MUGS NEO;1;16
P38;A7055;P38 C DECO BALL OLAF;3;14
P5;L2539;P5 TABLE LAMP ROUND WHITE. BE SHADE & COCAD;1;24
P6;L3066;P6 LED LIGHT BULB VINTAGE MEDIUM;1;5
POT;G1071;POT PILA HALUS OVAL F60X25;4;189
T106;A6216;T106 PLANTER POT ONO 25x12x25;1;18
xxx;L1420;WALL LAMP WHITE 36X26;1;24
