Supplier;Code;Description;Quantity;Value
B172;A1081.1N;B172 BASKET F37 H43;1;33
B172;A1081.2N;B172 BASKET F40 H48;1;33
HOOKS;A1581;HOOKS L;1;2
I11;A2675;I11 SET OF 5 CUTLERY;8;27
I99;A2707;I99 BOWL 9.8x7.5x6;10;24
I99;A2708;I99 MUG 7.2x6.5x8.2;1;2
I99;A2709;I99 MUG 11.5x8.5x10.5;8;18
I99;A2710;I99 OVAL PLATE 21.5x18x2;9;20
I99;A2711;I99 OVAL PLATE 28x23.5x2.6;9;28
I99;A2712;I99 BOWL 15.5x12x8;6;21
B29;A3783B;B29 TERRACOTA BIRD BLACK;1;4
P6;A5474;P6 PLATE STONE RECT GREY 35x27;1;4
P6;A5475;P6 PLATE STONE RECT GREY 30x20;1;3
I17;A6117;I17 WOODEN BARREL F40x53;1;95
B169;A6328;B169 STAND TEAK RECT WW 24x10x61;1;24
I62;A6343.1B;I62 VASE CERAMIC ROUND BLACK H15;1;6
I62;A6343.2B;I62 VASE CERAMIC ROUND BLACK H21;1;10
I69;A6421.2;I69 BASKET RUSTY ROUND F27x31;1;8
I70;A6521;I70 PLATE GREY MAT F26;4;5
I70;A6521.1;I70 DESSERT PLATE GREY MAT F20;3;3
I70;A6522;I70 DEEP PLATE GREY MAT F22;3;4
B165;A6533;B165 BUDDHA STONE WITH HAND T-LIGHT H40;1;24
B169;A6596;B169 POT STONE FOR PLANT 27x25x10;7;224
B169;A6819;B169 HANGER REC WOOD 100x4x12;1;48
B174;A6956;B174 BUDDHA TORSO ANTIQUE  H120;1;113
I95;A7324.3;I95 WINDOW WITH MIRRORS 40x4x100;1;81
B169;A7425;B169 MIRROR 190x3x102;1;185
B169;A7431.2N;B169 MIRROR PDH 60X80X2;2;51
B172;A7433G;B172 DOOR STOP 12x12x20;3;67
B169;A7460;B169 BOWL 30X25X3;1;16
B176;A7510.3;B176 BASKET RATTAN & BLACK 40x40x50;1;24
B176;A7513.3;B176 BASKET FLAT ROUND with handles 40x40x13;1;27
B176;A7515.1;B176 BASKET RATTAN 33x33x27;1;13
B176;A7515.3;B176 BASKET RATTAN 44x44x34;1;18
B172;A7591;B172 TRAY & FOOD COVER F40 H23;1;41
I138;A7661;I138 SAFE 42x37x20;1;71
P38;A7697;P38 DECANTER VINO 1.5L-D19.5XH24CM GLASS;1;32
P38;A7704;P38 CEILING LAMP ELUMINEA BLACK 17X15XH50 GLASS+BRASS;1;194
B207;A7865;B207 PIRING 40x40x8;1;44
B208;A7871;B208 10 MODELS ITEMS  20x20x9;1;8
D190;A7881;D190 KITCHEN EQUIPMENT - WINE GLASSES;8;2
D190;A7892;D190 KITCHEN EQUIPMENT - WATER GLASSES;8;1
Β31;A7979.1;Β31 POTTERY  TERRACOTA;1;13
Β31;A7979.2;Β31 POTTERY  TERRACOTA;1;16
Β31;A7979.3;Β31 POTTERY  TERRACOTA;1;19
Β31;A7982.1;Β31 POTTERY  TERRACOTA;1;10
Β31;A7982.2;Β31 POTTERY  TERRACOTA;2;24
Β31;A7985.2TQ;Β31 POTTERY  TERRACOTA;1;16
B223;A8118;B223 WALL HOOK STONE 8CM;1;7
B223;A8119;B223 WALL HOOK STONE 4CM;1;7
B169;B1411.1;B169 SINK RIVER STONE 30x35x20;3;301
I86;B1481;I86 PAPER ROD BRASS 10x5x3;3;28
I86;B1482;I86 LOOBRUSH STAINLESS STEEL;2;35
I86;B1486;I86 WALL HOOK BRASS 3x3x3;2;8
I86;B1487;I86 WASTE BIN STAINLESS STEEL 13x13x15;2;48
I86;B1491;I86 DISPENSER STAINLESS STEEL;2;16
B169;B4079;B169 TOWEL HANGER 100x35x105;1;182
CURTAIN;C1000;CURTAIN;6;769
B169;C1322;B169 STOOL SQUARE TEAK 30x30x40;2;80
B171;C1327BU;B171 ARMCHAIR  TEAK BURNAMBER;2;161
B171;C1330;B171 STOOL WITH CUSHION TEAK;2;112
B169;C1345;B169 BARSTOOL TEAK MIRSINI 40x39x98;4;352
I84;C1422G;I84 POUF 60x60x23;1;56
B169;C1461N;B169 STOOL GARDENOS F30 H46;2;117
B181;C1477N;B181 CHAIR ZAROS 52x50x80;4;383
I17;C1504;I17 STOOL IRON 41x41x51;1;129
B169;C1511;B169 LOUNGE CHAIR VILIA 75x83x73;1;253
B177;C1600N;B177 CHAIR TEAK DIMI 57x50x76;13;1684
B172;C1626;B172 LOUNGE CHAIR SAMPIERI 66x74.5x87;1;179
B169;C1644;B169 STOOL 40X40X40;1;56
B169;C1645;B169 STOOL 40X40X40;1;45
B172;C1663B;B172 STOOL WOODEN MONTEPALMA F25 H48;2;145
B177;C1682;B177 CHAIR TEAK PLANET 57x50x76;5;352
B206;C1715;B206 CHAIR 62x47x73;4;651
B206;C1765;B206 CHAIR TEAK 60x80x88;1;288
D75;CW0001;D75 CHAIR;1;263
B182;D1510;B182 BUFFET ELATI 150x40x60;1;387
B180;D1516.1B;B180 CONSOLE TEAK PEPLOS 100x45x55;1;249
B180;D1516.2N;B180 CABINET TV TEAK PEPLOS 150x45x55;1;769
B180;D1522N;B180 BUFFET TEAK VIRSINI 150x45x90;1;641
B169;D2030.130;B169 SHELF TEAK STRAIGHT EDGE 85x45x4;1;317
B169;D2030.131;B169 SHELF TEAK STRAIGHT EDGE 45x35x3;1;104
B169;D2030.133;B169 SHELF TEAK STRAIGHT EDGE 100x45x4;1;356
B169;D2030.134;B169 SHELF TEAK STRAIGHT EDGE 100x35x3;1;344
B169;D2030.245;B169 SHELF TEAK STRAIGHT EDGE PDH-F11 85x40X3;1;285
B169;D2030.55;B169 SHELF TEAK STRAIGHT EDGE 100X3X10;1;58
B169;D2030.86;B169 SHELF TEAK STRAIGHT EDGE 100x10x3;1;65
I13;F1321;I13 TOWEL FOUTA BLUE;4;17
I94;F3012;I94 THROW ETHNIC 230X260;2;305
D148;F4897.2;D148 SPRING BLANKET 230Χ240;2;44
I80;F7884G;I80 SCARF 30%LINEN+70%VISCOSE;1;8
D148;F7963.2;D148 SHEET ORFEAS 220X270;8;71
D148;F7964;D148 PILLOW CASE ORFEAS 50X70+18;8;27
D148;F7967.2;D148 TOWEL BODY FIVOS 50X90;8;27
D148;F7967.3;D148 TOWEL BODY FIVOS 70X140;8;51
D148;F7970;D148 PILLOW ZEFIROS 50X70;4;33
D148;F7972.2;D148 DUVET COVER ORFEAS 220X240;2;33
D148;F7976.2;D148 DUVET ZEFIROS 200 220X240;2;38
I84;F7985;I84 THROW HANDLOOM PATTA 127x177,8;1;28
I84;F8003;I84 RUG COTTON BLOCK PRINT ( B/W ) 121,92x182,88;1;44
D193;FW0016;D193 CUSHIONS FOR CHAIR-BENCH;2;174
D193;FW0016.3;D193 CUSHIONS FOR SOFA;1;769
B169;G1241;B169 SUNBED TEAK PARGA 200x60;2;352
B169;G1241CC;B169 CUSHION FOR SUNBED TEAK PARGA 200x60x38;2;133
I48;G1277L802-8;I48 POUF 296 60x40x35;1;48
B204;G1309;B204 SET LIVING MARCHESA 133x92x82;1;573
I181;G1338;I181 Raised Bed 488x122x45.5 cm Black Non Woven Fabric, PVC fitting With 1.2 m vertical poles;30;5081
I181;G1339;I181 Fabric Pot 100 Gallon Tan Non Woven Fabric Without handle;90;4282
B169;K1037;B169 BED FRAME NATURAL 160x200x100;1;596
B169;K1044.1;B169 BUNK BED TEAK FOR MATRESS 100X200 220x110x200;1;735
B169;K1046.2;B169 BED TEAKWOOD 200x160x35;2;721
D99;K1055.1;D99 MATTRESS CAPITONE 90X200;2;189
I125;K1061.1;I125 MATRESS 160x200x25;3;424
D34;K1068.2;D34 HEADBOARD HRA FABRIC 160x110;2;258
I147;KT001B;I147 KETTLE 0.8L;1;13
I52;L1046;I52 TABLE LAMP CEMENT + ROUND BULB 19.5x9x23;6;175
I17;L1475;I17 IRON LAMP F30 H40;1;80
I17;L1479;I17 TABLE LAMP 22x11x68;1;54
I8;L2727;I8 LAMP STAINLESS STEEL + MARBLE BASE;1;264
I39;L2824;I39  T-LIGHT HOLDER CUT WORK & PUNCHING NICKE;1;11
P14;L3006;P14 T-LIGHT TAVI F8.5x22;1;8
I130;L3089.2;I130 LIGHT PENDANT GLASS COGNAC & BLACK F20 H25;2;83
B172;L3122;B172 LAMP HANGING BAMBOO F36 H24;2;75
Β31;L3233;Β31 LAMP WALL  TERRACOTA;1;48
D34;S1042.3T;D34 SOFA - BED ERATO 220x90x70;1;552
D75;SW0002;D75 SOFA;2;5081
D217;SW0005;D217 SOFA BED;1;1576
B169;T1364.1;B169 DINING TABLE TEAK FISKARDO 260x100x75;1;2303
B99;T1365.2;B99 DINING TABLE POROS TEAK AND STAIN POROS 200x100x76;1;523
B169;T1379;B169 BEDSIDE TEAK 50x35x45;8;1716
B169;T1379.1N;B169 BEDSIDE RECT TEAK 30x35x45;2;155
B169;T1383.2N;B169 DINING TABLE TEAK LYGIA 140X70X75;1;245
B169;T1396;B169 COFFEE TABLE TEAK PR 6cm F50x40;1;79
I17;T1443;I17 BEDSIDE TABLE 48x36x72;2;176
B177;T2023N;B177 COFFEE TABLE AVATO 45x45x50;2;189
B180;T2024.1N;B180 DINING TABLE KYANI TEAK 140x75x75;1;241
B169;T2049N;B169 COFFEE TABLE ALONAKI F60 H38;2;230
B169;T2051N;B169 SIDE TABLE DRIMONAS 30x30x40;2;256
B186;T2065N;B186 EXT. TABLE VATI TEAK 120 - 180x100x75;1;242
B172;T2098WW;B172 SIDE TABLE GRAVINA 56.5x56.5x54;2;242
B169;T2119;B169 SIDE TABLE 40X40X70;1;68
B169;T2413;B169 TABLE COFFEE REC. TEAK set with S1113 80x80x30cm;1;367
B169;T2418N;B169 DINING TABLE TEAK KANALAKI ROUND F120 H75cm;1;492
B206;T2452;B206 COFFEE TABLE 70x70x70;1;158
B169;T2460;B169 BEDSIDE TABLE TRUNK TEAK 40x40x45;2;162
I172;TV001;"I172 TV WALL MOUNT FIXED 32-70""45KG";1;3
