Supplier;Code;Description;Q;Cost Price;Cost * Q;Sales Pirce;Sales Price * Q
D32;1K1057;D32 MATRESS ATLAS 160x200;1;579;579;1922;1922
A1;A1050BELM;A1 MIRROR ELM30 110x82;4;84;335;435;1740
B9;A1072;B9 TRAY TEAK;10;20;197;52;520
B173;A1080.1;B173 3SHELVES BAMBOO 43x50x98;5;14;72;70;350
B172;A1081.1N;B172 BASKET F37 H43;41;16;656;69;2829
B172;A1081.2N;B172 BASKET F40 H48;45;25;1125;83;3735
B172;A1082.1B;B172 BASKET F39 H34;1;46;46;69;69
B172;A1082.2B;B172 BASKET F45 H39;1;15;15;84;84
P1;A1095.3;P1 POT TURQUOISE SQUARE;2;5;10;25;50
P1;A1096;P1 POT ROUND TURQUOISE MS 15x20;4;5;18;14;56
P1;A1096LI;P1 POT ROUND LIME MS 15x20;-1;5;-5;14;-14
P1;A1097;P1 VASE TURQUOISE 12.5x25.5;1;6;6;19;19
P1;A1102LI;P1 GINGER POT ROUND LIME SS 14x15;3;3;10;10;30
;A1104;LADDER WHITE BAMBOO WITH BASE 60x200;10;27;274;115;1150
B172;A1115.1B;B172 BASKET F42 H46;17;15;255;66;1122
B172;A1115.2B;B172 BASKET F47 H52;18;23;414;77;1386
;A1200;ZINC S/3 POTS STRIES A/A.10/12/15  P9;3;4;11;12;36
;;;;;;;
;A1201;ZINC S/4 POTS/PLATEAU   35X8X7 CM  P9;1;3;3;9;9
;A1288;SET TAPAS 6PCS BOIS/VERRE NOIR/CL 26X24X13 P5;1;15;15;55;55
;A1293;VASE PLAT/VERRE CER MARRON M 19X19X16CM P5;1;6;6;0;0
B172;A1324.1B;B172 BASKET F24 H20;40;12;480;48;1920
B172;A1324.2B;B172 BASKET F27 H25;24;14;336;54;1296
B172;A1324.3B;B172 BASKET F31 H34;20;16;320;60;1200
B172;A1397.1B;B172 BASKET F37 H36;14;30;420;95;1330
B172;A1397.2B;B172 BASKET F44 H39;17;27;459;110;1870
B172;A1398.1N;B172 PLATE 22x17x2;8;4;35;18;144
B172;A1398.2N;B172 PLATE 26x20x2;8;5;42;22;176
;A1402;I41 LEVANDER IN SMALL POT;1;11;11;12;12
